,date,datatype,station,attributes,value
0,2000-01-27T00:00:00,WSF5,GHCND:USW00094818,",,W,",67
1,2000-01-27T00:00:00,AWND,GHCND:USW00094855,",,W,",13
2,2000-01-27T00:00:00,FMTM,GHCND:USW00094855,",,W,",735
3,2000-01-27T00:00:00,PGTM,GHCND:USW00094855,",,W,",407
4,2000-01-27T00:00:00,PRCP,GHCND:USW00094855,",,W,",0
5,2000-01-27T00:00:00,TAVG,GHCND:USW00094855,",,W,",-133
6,2000-01-27T00:00:00,TMAX,GHCND:USW00094855,",,W,",-67
7,2000-01-27T00:00:00,TMIN,GHCND:USW00094855,",,W,",-200
8,2000-01-27T00:00:00,WDF2,GHCND:USW00094855,",,W,",300
9,2000-01-27T00:00:00,WDF5,GHCND:USW00094855,",,W,",300
10,2000-01-27T00:00:00,WSF2,GHCND:USW00094855,",,W,",36
11,2000-01-27T00:00:00,WSF5,GHCND:USW00094855,",,W,",40
12,2000-01-27T00:00:00,AWND,GHCND:USW00094929,",,W,",16
13,2000-01-27T00:00:00,FMTM,GHCND:USW00094929,",,W,",2357
14,2000-01-27T00:00:00,PGTM,GHCND:USW00094929,",,W,",2359
15,2000-01-27T00:00:00,PRCP,GHCND:USW00094929,",,W,",0
16,2000-01-27T00:00:00,TAVG,GHCND:USW00094929,",,W,",-122
17,2000-01-27T00:00:00,TMAX,GHCND:USW00094929,",,W,",-33
18,2000-01-27T00:00:00,TMIN,GHCND:USW00094929,",,W,",-217
19,2000-01-27T00:00:00,WDF2,GHCND:USW00094929,",,W,",220
20,2000-01-27T00:00:00,WDF5,GHCND:USW00094929,",,W,",220
21,2000-01-27T00:00:00,WSF2,GHCND:USW00094929,",,W,",40
22,2000-01-27T00:00:00,WSF5,GHCND:USW00094929,",,W,",45
23,2000-01-27T00:00:00,AWND,GHCND:USW00094973,",,W,",6
24,2000-01-27T00:00:00,FMTM,GHCND:USW00094973,",,W,",1509
25,2000-01-27T00:00:00,PGTM,GHCND:USW00094973,",,W,",1509
26,2000-01-27T00:00:00,PRCP,GHCND:USW00094973,",,W,",0
27,2000-01-27T00:00:00,TAVG,GHCND:USW00094973,",,W,",-150
