,Date,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Weekday,Year,Month,Day
727,1994-12-08,,,,,0.0,Thursday,1994,12,8
728,1994-12-09,0.0,0.0,0.0,0.0,0.61,Friday,1994,12,9
729,1994-12-12,0.0,0.8,0.0,0.0,1.01,Monday,1994,12,12
730,1994-12-14,0.0,1.0,0.11,0.0,0.94,Wednesday,1994,12,14
731,1994-12-16,0.0,1.4,0.14,0.3,1.12,Friday,1994,12,16
732,1994-12-19,0.0,0.8,0.22,0.0,1.25,Monday,1994,12,19
733,1994-12-21,0.0,0.2,0.19,0.0,1.05,Wednesday,1994,12,21
734,1994-12-23,0.0,0.0,0.04,0.0,1.01,Friday,1994,12,23
735,1994-12-26,0.0,0.0,0.13,0.0,1.02,Monday,1994,12,26
736,1994-12-28,0.0,0.0,0.02,0.0,0.91,Wednesday,1994,12,28
737,1994-12-30,0.0,0.0,0.04,0.0,1.66,Friday,1994,12,30
738,1995-01-02,0.0,0.0,0.04,0.0,1.59,Monday,1995,1,2
739,1995-01-04,0.0,0.5,1.37,0.0,2.2,Wednesday,1995,1,4
740,1995-01-06,14.5,10.7,8.23,5.0,8.49,Friday,1995,1,6
741,1995-01-09,13.9,6.4,3.44,0.0,4.91,Monday,1995,1,9
742,1995-01-11,27.0,15.9,4.47,0.0,5.39,Wednesday,1995,1,11
743,1995-01-13,19.5,12.5,4.61,1.9,5.95,Friday,1995,1,13
744,1995-01-16,13.5,6.9,3.48,0.0,4.99,Monday,1995,1,16
745,1995-01-18,8.0,7.2,2.9,0.0,4.97,Wednesday,1995,1,18
746,1995-01-20,5.4,6.0,5.9,0.0,4.57,Friday,1995,1,20
747,1995-01-23,6.6,5.6,5.11,0.0,5.31,Monday,1995,1,23
748,1995-01-25,17.4,8.2,5.0,0.0,5.95,Wednesday,1995,1,25
749,1995-01-27,18.1,14.8,9.52,0.0,8.05,Friday,1995,1,27
750,1995-01-30,16.9,16.8,8.44,1.1,6.09,Monday,1995,1,30
751,1995-02-01,19.1,18.8,8.37,1.9,5.31,Wednesday,1995,2,1
752,1995-02-03,17.9,17.0,9.23,0.7,7.28,Friday,1995,2,3
753,1995-02-06,20.2,23.3,9.52,1.4,6.67,Monday,1995,2,6
754,1995-02-08,82.7,38.4,15.5,18.0,10.14,Wednesday,1995,2,8
755,1995-02-10,86.8,36.1,20.0,21.7,12.52,Friday,1995,2,10
756,1995-02-13,95.8,40.4,23.68,20.1,13.14,Monday,1995,2,13
757,1995-02-15,95.0,42.8,20.13,15.7,11.36,Wednesday,1995,2,15
758,1995-02-17,89.7,36.4,23.49,12.8,14.6,Friday,1995,2,17
759,1995-02-20,95.3,34.4,16.53,12.8,13.09,Monday,1995,2,20
760,1995-02-22,80.2,22.9,12.16,10.8,8.88,Wednesday,1995,2,22
761,1995-02-24,66.5,27.4,12.21,9.1,10.87,Friday,1995,2,24
762,1995-02-27,53.8,36.7,17.02,10.5,15.41,Monday,1995,2,27
763,1995-03-01,88.6,54.0,17.17,13.5,35.05,Wednesday,1995,3,1
764,1995-03-03,81.2,44.8,15.05,12.3,34.77,Friday,1995,3,3
765,1995-03-06,84.9,47.2,17.14,17.5,22.66,Monday,1995,3,6
766,1995-03-08,73.7,42.0,14.58,10.7,17.84,Wednesday,1995,3,8
767,1995-03-10,66.9,59.7,22.78,8.1,43.86,Friday,1995,3,10
768,1995-03-13,66.3,50.4,12.98,4.9,29.25,Monday,1995,3,13
769,1995-03-15,59.5,37.5,10.45,4.2,20.46,Wednesday,1995,3,15
770,1995-03-17,50.1,38.4,11.96,7.2,25.41,Friday,1995,3,17
771,1995-03-20,33.8,30.7,12.27,4.6,14.45,Monday,1995,3,20
772,1995-03-22,10.1,19.2,9.99,3.6,8.15,Wednesday,1995,3,22
773,1995-03-24,7.5,15.6,5.94,4.5,6.27,Friday,1995,3,24
774,1995-03-27,2.9,12.3,4.29,1.8,5.4,Monday,1995,3,27
775,1995-03-29,2.2,13.6,3.92,0.0,5.42,Wednesday,1995,3,29
776,1995-03-31,1.6,11.4,2.97,0.0,4.62,Friday,1995,3,31
777,1995-04-03,0.9,9.4,1.76,0.0,3.95,Monday,1995,4,3
778,1995-04-05,1.0,7.0,1.75,0.0,3.97,Wednesday,1995,4,5
779,1995-04-07,0.6,5.9,0.41,0.0,3.03,Friday,1995,4,7
780,1995-04-10,0.6,5.5,0.16,0.0,2.82,Monday,1995,4,10
781,1995-04-12,0.7,5.2,0.03,0.0,3.27,Wednesday,1995,4,12
782,1995-04-14,0.4,5.2,0.03,0.0,3.41,Friday,1995,4,14
783,1995-04-19,0.0,1.9,0.0,0.0,1.92,Wednesday,1995,4,19
784,1995-04-21,0.0,0.4,0.0,0.0,1.51,Friday,1995,4,21
785,1995-04-24,0.0,0.0,0.0,0.0,1.07,Monday,1995,4,24
786,1995-04-26,0.0,0.0,0.0,0.0,1.2,Wednesday,1995,4,26
787,1995-04-28,0.0,0.0,0.0,0.0,1.18,Friday,1995,4,28
788,1995-05-01,0.0,0.0,0.0,0.0,1.01,Monday,1995,5,1
789,1995-05-03,0.0,0.0,0.0,0.0,1.1,Wednesday,1995,5,3
790,1995-05-05,0.0,0.0,0.0,0.0,0.53,Friday,1995,5,5
791,1995-05-08,0.0,0.0,0.0,0.0,0.45,Monday,1995,5,8
792,1995-05-10,0.0,0.0,0.0,0.0,0.05,Wednesday,1995,5,10
793,1995-05-11,,,,,0.0,Thursday,1995,5,11
794,1995-11-16,,,,,0.0,Thursday,1995,11,16
795,1995-11-17,0.0,0.0,0.0,0.0,0.59,Friday,1995,11,17
796,1995-11-20,0.0,0.0,0.0,0.0,0.53,Monday,1995,11,20
797,1995-11-22,0.0,0.0,0.0,0.0,0.61,Wednesday,1995,11,22
798,1995-11-27,0.0,0.0,0.0,0.0,0.98,Monday,1995,11,27
799,1995-11-29,0.0,0.0,0.0,0.0,1.26,Wednesday,1995,11,29
800,1995-12-04,0.0,0.0,0.39,0.0,1.04,Monday,1995,12,4
801,1995-12-06,0.0,0.0,0.35,0.0,1.12,Wednesday,1995,12,6
802,1995-12-08,0.0,3.9,2.36,0.0,1.21,Friday,1995,12,8
803,1995-12-11,15.7,10.1,3.05,0.0,2.22,Monday,1995,12,11
804,1995-12-18,12.1,15.3,4.35,1.1,3.98,Monday,1995,12,18
805,1995-12-22,18.8,16.1,5.04,1.1,3.21,Friday,1995,12,22
806,1995-12-25,15.6,17.3,5.23,1.6,3.23,Monday,1995,12,25
807,1995-12-27,11.3,22.3,6.72,1.6,3.58,Wednesday,1995,12,27
808,1995-12-29,21.2,20.7,9.81,2.5,3.18,Friday,1995,12,29
809,1996-01-01,21.2,20.8,9.61,2.5,4.46,Monday,1996,1,1
810,1996-01-03,25.1,21.9,12.08,2.7,4.69,Wednesday,1996,1,3
811,1996-01-05,59.0,33.2,15.0,6.2,6.49,Friday,1996,1,5
812,1996-01-12,88.4,52.3,25.1,35.8,16.74,Friday,1996,1,12
813,1996-01-15,95.0,43.6,20.09,12.1,7.39,Monday,1996,1,15
814,1996-01-17,99.4,52.4,23.72,19.1,6.58,Wednesday,1996,1,17
815,1996-01-19,87.7,40.8,16.43,13.0,6.96,Friday,1996,1,19
816,1996-01-22,94.9,54.2,29.07,17.3,22.35,Monday,1996,1,22
817,1996-01-24,88.4,31.4,21.22,6.8,23.75,Wednesday,1996,1,24
818,1996-01-26,75.7,29.1,13.82,7.2,21.88,Friday,1996,1,26
819,1996-01-29,67.1,27.9,12.88,7.4,20.79,Monday,1996,1,29
820,1996-01-31,99.6,50.5,25.28,11.1,22.95,Wednesday,1996,1,31
821,1996-02-02,96.4,67.5,40.09,16.7,47.95,Friday,1996,2,2
822,1996-02-05,100.0,90.9,67.81,44.8,87.61,Monday,1996,2,5
823,1996-02-07,89.2,81.7,75.42,21.9,81.77,Wednesday,1996,2,7
824,1996-02-09,85.1,69.6,49.4,14.1,71.32,Friday,1996,2,9
825,1996-02-12,89.6,59.6,45.04,11.9,56.28,Monday,1996,2,12
826,1996-02-14,86.5,65.0,29.94,9.2,68.74,Wednesday,1996,2,14
827,1996-02-16,100.0,90.5,38.98,45.3,82.64,Friday,1996,2,16
828,1996-02-19,99.2,98.2,41.72,17.5,95.52,Monday,1996,2,19
829,1996-02-21,89.9,90.9,26.48,10.2,79.19,Wednesday,1996,2,21
830,1996-02-23,88.8,70.6,31.48,8.4,75.76,Friday,1996,2,23
831,1996-02-26,77.6,65.6,26.91,7.0,65.46,Monday,1996,2,26
832,1996-02-28,82.6,69.5,23.0,7.0,93.51,Wednesday,1996,2,28
833,1996-03-01,64.4,75.9,18.66,5.0,97.75,Friday,1996,3,1
834,1996-03-04,88.2,91.2,39.48,11.8,99.09,Monday,1996,3,4
835,1996-03-06,88.2,84.6,41.14,6.2,99.68,Wednesday,1996,3,6
836,1996-03-08,88.4,98.2,61.62,6.9,100.0,Friday,1996,3,8
837,1996-03-11,80.5,88.6,48.15,8.6,77.87,Monday,1996,3,11
838,1996-03-13,86.4,73.3,30.95,16.3,89.25,Wednesday,1996,3,13
839,1996-03-18,85.6,76.6,37.77,13.9,74.83,Monday,1996,3,18
840,1996-03-20,78.0,77.2,28.9,12.8,99.18,Wednesday,1996,3,20
841,1996-03-22,40.4,49.7,21.26,7.3,71.68,Friday,1996,3,22
842,1996-03-25,25.8,42.8,17.36,4.9,47.62,Monday,1996,3,25
843,1996-03-27,31.5,43.7,16.82,3.8,95.7,Wednesday,1996,3,27
844,1996-04-01,27.7,53.9,16.27,5.3,92.38,Monday,1996,4,1
845,1996-04-03,23.2,45.5,16.95,2.3,81.43,Wednesday,1996,4,3
846,1996-04-05,21.0,28.0,16.53,1.5,63.08,Friday,1996,4,5
847,1996-04-08,21.6,29.2,20.45,1.5,65.25,Monday,1996,4,8
848,1996-04-10,17.4,29.5,15.36,0.7,58.83,Wednesday,1996,4,10
849,1996-04-12,14.6,27.2,12.91,0.4,57.05,Friday,1996,4,12
850,1996-04-15,10.6,24.2,12.29,0.2,32.57,Monday,1996,4,15
851,1996-04-17,11.1,22.3,10.82,0.0,29.89,Wednesday,1996,4,17
852,1996-04-19,4.8,21.4,12.09,0.0,32.03,Friday,1996,4,19
853,1996-04-22,2.0,20.3,8.84,0.0,31.52,Monday,1996,4,22
