,Date,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Weekday,Year,Month,Day,Period
0,1972-12-19,,,,,0.0,Tuesday,1972,12,19,1972-12
1,1972-12-20,0.0,25.26,9.21,0.61,16.62,Wednesday,1972,12,20,1972-12
2,1972-12-28,0.0,12.65,12.09,2.98,9.35,Thursday,1972,12,28,1972-12
3,1973-01-02,3.4,22.0,6.53,2.8,13.03,Tuesday,1973,1,2,1973-1
4,1973-01-09,25.4,31.3,21.55,21.4,29.69,Tuesday,1973,1,9,1973-1
5,1973-01-16,42.3,25.3,22.39,11.7,15.25,Tuesday,1973,1,16,1973-1
6,1973-01-23,10.5,14.0,8.4,6.1,11.51,Tuesday,1973,1,23,1973-1
7,1973-01-30,17.0,27.4,26.17,25.3,21.96,Tuesday,1973,1,30,1973-1
8,1973-02-06,6.9,23.2,9.32,16.1,13.32,Tuesday,1973,2,6,1973-2
9,1973-02-13,81.0,52.4,19.7,21.5,26.04,Tuesday,1973,2,13,1973-2
10,1973-02-20,94.0,65.9,24.7,64.2,39.38,Tuesday,1973,2,20,1973-2
11,1973-02-27,95.7,68.1,36.97,37.6,71.13,Tuesday,1973,2,27,1973-2
12,1973-03-06,57.8,57.0,22.22,10.2,56.5,Tuesday,1973,3,6,1973-3
13,1973-03-13,3.3,31.1,6.87,1.6,34.28,Tuesday,1973,3,13,1973-3
14,1973-03-21,0.0,24.8,2.02,0.8,9.98,Wednesday,1973,3,21,1973-3
15,1973-03-27,0.0,9.0,0.15,0.0,4.81,Tuesday,1973,3,27,1973-3
16,1973-04-06,0.0,6.9,0.0,0.0,1.39,Friday,1973,4,6,1973-4
17,1973-04-07,,0.0,,,0.0,Saturday,1973,4,7,1973-4
18,1973-12-30,0.0,0.0,0.0,0.0,0.0,Sunday,1973,12,30,1973-12
19,1973-12-31,7.5,8.5,6.08,6.3,13.0,Monday,1973,12,31,1973-12
20,1974-01-10,53.4,40.6,29.97,28.2,37.61,Thursday,1974,1,10,1974-1
21,1974-01-17,44.0,40.1,22.56,12.9,33.11,Thursday,1974,1,17,1974-1
22,1974-01-23,12.5,29.4,23.08,8.4,22.58,Wednesday,1974,1,23,1974-1
23,1974-01-31,2.8,26.1,18.39,6.0,21.68,Thursday,1974,1,31,1974-1
24,1974-02-07,42.8,36.6,27.8,15.7,39.52,Thursday,1974,2,7,1974-2
25,1974-02-14,68.8,58.4,35.03,18.6,73.65,Thursday,1974,2,14,1974-2
26,1974-02-21,88.5,60.2,43.19,21.3,74.12,Thursday,1974,2,21,1974-2
27,1974-02-28,59.9,63.3,35.11,19.1,74.62,Thursday,1974,2,28,1974-2
28,1974-03-07,15.8,32.1,13.53,6.1,54.96,Thursday,1974,3,7,1974-3
29,1974-03-14,25.1,53.6,16.57,9.4,59.22,Thursday,1974,3,14,1974-3
30,1974-03-21,0.5,40.5,12.11,4.1,70.04,Thursday,1974,3,21,1974-3
31,1974-03-28,0.8,29.6,24.01,3.4,73.54,Thursday,1974,3,28,1974-3
32,1974-04-04,1.3,25.4,10.34,1.5,54.18,Thursday,1974,4,4,1974-4
33,1974-04-11,0.0,18.5,5.85,0.0,26.26,Thursday,1974,4,11,1974-4
34,1974-04-18,5.0,14.1,8.73,5.0,18.66,Thursday,1974,4,18,1974-4
35,1974-04-25,0.0,9.7,0.57,0.0,11.72,Thursday,1974,4,25,1974-4
36,1974-05-02,0.0,2.5,2.92,0.0,7.78,Thursday,1974,5,2,1974-5
37,1974-05-03,,0.0,0.0,,0.0,Friday,1974,5,3,1974-5
38,1975-01-01,0.0,0.0,0.0,0.0,0.0,Wednesday,1975,1,1,1975-1
39,1975-01-02,1.1,2.0,1.61,1.1,1.92,Thursday,1975,1,2,1975-1
40,1975-01-09,1.6,3.6,3.02,0.0,4.41,Thursday,1975,1,9,1975-1
41,1975-01-16,7.3,13.9,14.54,2.0,10.4,Thursday,1975,1,16,1975-1
42,1975-01-23,28.9,25.7,24.88,3.9,17.4,Thursday,1975,1,23,1975-1
43,1975-01-30,15.8,33.7,29.03,4.3,18.09,Thursday,1975,1,30,1975-1
44,1975-02-06,23.8,39.7,14.91,8.9,26.16,Thursday,1975,2,6,1975-2
45,1975-02-13,80.5,57.1,23.97,15.1,66.06,Thursday,1975,2,13,1975-2
46,1975-02-20,62.8,36.9,23.48,8.1,35.73,Thursday,1975,2,20,1975-2
47,1975-02-27,47.5,34.3,22.89,3.9,23.33,Thursday,1975,2,27,1975-2
48,1975-03-06,72.6,40.5,21.36,6.6,22.66,Thursday,1975,3,6,1975-3
49,1975-03-13,27.7,29.2,13.66,2.3,31.87,Thursday,1975,3,13,1975-3
50,1975-03-20,5.7,18.9,9.89,3.5,12.26,Thursday,1975,3,20,1975-3
51,1975-03-27,0.0,17.3,12.13,1.6,14.86,Thursday,1975,3,27,1975-3
52,1975-04-03,0.4,31.8,19.8,2.2,22.55,Thursday,1975,4,3,1975-4
53,1975-04-10,0.5,24.4,8.65,1.7,9.18,Thursday,1975,4,10,1975-4
54,1975-04-17,0.0,13.5,5.81,0.0,3.1,Thursday,1975,4,17,1975-4
55,1975-04-24,0.0,12.1,3.82,0.0,2.34,Thursday,1975,4,24,1975-4
56,1975-04-25,,0.0,0.0,,0.0,Friday,1975,4,25,1975-4
57,1975-12-22,0.0,0.0,0.0,0.0,0.0,Monday,1975,12,22,1975-12
58,1975-12-23,11.9,28.4,5.97,2.3,5.5,Tuesday,1975,12,23,1975-12
59,1975-12-30,18.4,22.0,13.38,1.6,7.8,Tuesday,1975,12,30,1975-12
60,1976-01-06,18.8,17.6,13.49,7.8,10.89,Tuesday,1976,1,6,1976-1
61,1976-01-13,54.2,35.7,28.12,4.3,18.43,Tuesday,1976,1,13,1976-1
62,1976-01-20,68.6,37.9,28.25,5.6,12.22,Tuesday,1976,1,20,1976-1
63,1976-01-27,87.3,54.4,20.28,15.0,25.65,Tuesday,1976,1,27,1976-1
64,1976-02-03,95.0,54.1,32.88,19.4,30.41,Tuesday,1976,2,3,1976-2
65,1976-02-10,95.4,41.6,26.46,12.8,33.12,Tuesday,1976,2,10,1976-2
66,1976-02-17,88.9,39.3,26.27,8.8,35.35,Tuesday,1976,2,17,1976-2
67,1976-02-24,44.5,30.5,19.57,5.0,23.48,Tuesday,1976,2,24,1976-2
68,1976-03-02,22.9,44.4,13.02,8.0,33.1,Tuesday,1976,3,2,1976-3
69,1976-03-09,20.4,43.3,20.44,7.3,40.84,Tuesday,1976,3,9,1976-3
70,1976-03-16,10.7,49.3,11.87,5.2,52.4,Tuesday,1976,3,16,1976-3
71,1976-03-23,3.8,33.8,12.11,7.1,26.1,Tuesday,1976,3,23,1976-3
72,1976-03-30,1.2,19.6,8.11,2.0,12.04,Tuesday,1976,3,30,1976-3
73,1976-04-06,1.3,14.6,6.63,0.0,10.49,Tuesday,1976,4,6,1976-4
74,1976-04-13,0.5,11.5,2.83,0.0,7.24,Tuesday,1976,4,13,1976-4
75,1976-04-20,0.1,4.6,0.0,0.0,1.34,Tuesday,1976,4,20,1976-4
76,1976-04-21,0.0,0.0,0.0,,0.0,Wednesday,1976,4,21,1976-4
77,1976-12-15,0.0,0.0,0.0,0.0,0.0,Wednesday,1976,12,15,1976-12
78,1976-12-16,25.5,29.7,20.3,6.6,18.53,Thursday,1976,12,16,1976-12
79,1976-12-23,40.4,32.2,22.68,9.1,20.48,Thursday,1976,12,23,1976-12
80,1976-12-30,79.9,42.4,32.58,21.0,28.71,Thursday,1976,12,30,1976-12
81,1977-01-06,95.6,53.6,40.89,28.1,35.47,Thursday,1977,1,6,1977-1
82,1977-01-12,95.2,62.9,55.48,24.6,59.59,Wednesday,1977,1,12,1977-1
83,1977-01-19,95.8,70.5,75.05,33.8,73.15,Wednesday,1977,1,19,1977-1
84,1977-01-26,99.6,79.4,76.61,39.7,83.0,Wednesday,1977,1,26,1977-1
85,1977-02-02,98.3,85.2,75.4,35.4,81.21,Wednesday,1977,2,2,1977-2
86,1977-02-09,99.8,95.0,93.29,44.7,91.73,Wednesday,1977,2,9,1977-2
87,1977-02-16,97.8,91.5,72.11,48.8,96.04,Wednesday,1977,2,16,1977-2
88,1977-02-23,98.0,92.5,74.79,47.5,95.7,Wednesday,1977,2,23,1977-2
89,1977-03-02,92.6,91.1,72.01,32.1,93.46,Wednesday,1977,3,2,1977-3
90,1977-03-09,70.1,78.5,56.11,24.6,73.3,Wednesday,1977,3,9,1977-3
