Lake Michigan:, Ice Cover Data
Source:, CIS; NIC
Date, Percent_Ice
12/20/1972,9.21
12/28/1972,12.09
01/02/1973,6.53
01/09/1973,21.55
01/16/1973,22.39
01/23/1973,8.4
01/30/1973,26.17
02/06/1973,9.32
02/13/1973,19.7
02/20/1973,24.7
02/27/1973,36.97
03/06/1973,22.22
03/13/1973,6.87
03/21/1973,2.02
03/27/1973,0.15
04/06/1973,0
12/30/1973,0
12/31/1973,6.08
01/10/1974,29.97
01/17/1974,22.56
01/23/1974,23.08
01/31/1974,18.39
02/07/1974,27.8
02/14/1974,35.03
02/21/1974,43.19
02/28/1974,35.11
03/07/1974,13.53
03/14/1974,16.57
03/21/1974,12.11
03/28/1974,24.01
04/04/1974,10.34
04/11/1974,5.85
04/18/1974,8.73
04/25/1974,0.57
05/02/1974,2.92
05/03/1974,0
01/01/1975,0
01/02/1975,1.61
01/09/1975,3.02
01/16/1975,14.54
01/23/1975,24.88
01/30/1975,29.03
02/06/1975,14.91
02/13/1975,23.97
02/20/1975,23.48
02/27/1975,22.89
03/06/1975,21.36
03/13/1975,13.66
03/20/1975,9.89
03/27/1975,12.13
04/03/1975,19.8
04/10/1975,8.65
04/17/1975,5.81
04/24/1975,3.82
04/25/1975,0
12/22/1975,0
12/23/1975,5.97
12/30/1975,13.38
01/06/1976,13.49
01/13/1976,28.12
01/20/1976,28.25
01/27/1976,20.28
02/03/1976,32.88
02/10/1976,26.46
02/17/1976,26.27
02/24/1976,19.57
03/02/1976,13.02
03/09/1976,20.44
03/16/1976,11.87
03/23/1976,12.11
03/30/1976,8.11
04/06/1976,6.63
04/13/1976,2.83
04/20/1976,0
04/21/1976,0
12/15/1976,0
12/16/1976,20.3
12/23/1976,22.68
12/30/1976,32.58
01/06/1977,40.89
01/12/1977,55.48
01/19/1977,75.05
01/26/1977,76.61
02/02/1977,75.4
02/09/1977,93.29
02/16/1977,72.11
02/23/1977,74.79
03/02/1977,72.01
03/09/1977,56.11
03/16/1977,41.77
03/23/1977,36.83
03/30/1977,37.64
04/06/1977,29.07
04/13/1977,14.43
04/20/1977,8.15
04/27/1977,5
05/04/1977,5
05/05/1977,0
12/20/1977,0
12/21/1977,7.59
12/28/1977,11.49
01/04/1978,14.92
01/11/1978,19.08
01/18/1978,44.43
01/25/1978,31.03
02/01/1978,37.02
02/08/1978,45.32
02/15/1978,35.33
02/22/1978,68.29
03/01/1978,61.36
03/08/1978,53.79
03/15/1978,51.14
03/22/1978,30.66
03/29/1978,18.5
04/05/1978,14.28
04/12/1978,10.46
04/19/1978,8.18
04/26/1978,5.21
05/03/1978,5
05/04/1978,0
12/17/1978,0
12/18/1978,7.47
12/25/1978,5
12/27/1978,9.98
01/01/1979,14.91
01/08/1979,35.85
01/15/1979,40.3
01/22/1979,35.59
01/29/1979,27.99
02/05/1979,48.12
02/12/1979,61.27
02/19/1979,91.83
02/26/1979,92.4
03/05/1979,77
03/12/1979,73.5
03/19/1979,40.28
03/26/1979,28.44
04/02/1979,21.66
04/09/1979,14.62
04/16/1979,12.22
04/23/1979,10.43
04/30/1979,5
05/07/1979,5
05/14/1979,5
05/15/1979,0
01/01/1980,0
01/02/1980,8.39
01/09/1980,9.61
01/16/1980,12.04
01/24/1980,11.61
01/30/1980,30.48
02/06/1980,39.29
02/13/1980,38.46
02/20/1980,43.7
02/27/1980,37.74
03/05/1980,39.34
03/12/1980,19.71
03/19/1980,18.41
03/26/1980,13.76
04/02/1980,13.69
04/09/1980,9.48
04/16/1980,5.77
04/17/1980,0
12/23/1980,0
12/24/1980,14.13
01/07/1981,41.57
01/14/1981,44.64
01/21/1981,55.8
01/28/1981,33.24
02/04/1981,38.86
02/11/1981,50.61
02/18/1981,36.31
02/25/1981,22
03/04/1981,16.85
03/11/1981,18.25
03/18/1981,19.46
03/25/1981,15.7
04/01/1981,16.6
04/08/1981,7.76
04/15/1981,5
04/16/1981,0
12/20/1981,0
12/21/1981,6.06
12/29/1981,7.42
01/04/1982,7.45
01/11/1982,19.03
01/18/1982,47.78
01/25/1982,42.61
02/02/1982,47.68
02/09/1982,62.87
02/17/1982,44.92
02/23/1982,38.19
03/03/1982,44.33
03/09/1982,43.43
03/17/1982,24.79
03/23/1982,27.54
03/29/1982,19.6
04/06/1982,17.78
04/13/1982,14.34
04/20/1982,10.24
04/26/1982,5.77
05/05/1982,5
05/12/1982,5
05/17/1982,5
05/18/1982,0
12/20/1982,0
12/21/1982,5
12/27/1982,5
01/03/1983,6.04
01/11/1983,5
01/18/1983,17.64
01/25/1983,15.62
02/01/1983,23.25
02/08/1983,23.1
02/14/1983,24.96
02/23/1983,22.04
03/01/1983,15.17
03/08/1983,13.67
03/15/1983,12.38
03/23/1983,6.83
03/30/1983,6.09
04/05/1983,5.24
04/12/1983,5.62
04/19/1983,5.32
04/26/1983,5
