Lake Ontario:, Ice Cover Data
Source:, CIS; NIC
Date, Percent_Ice
12/20/1972,0.61
12/28/1972,2.98
01/02/1973,2.8
01/09/1973,21.4
01/16/1973,11.7
01/23/1973,6.1
01/30/1973,25.3
02/06/1973,16.1
02/13/1973,21.5
02/20/1973,64.2
02/27/1973,37.6
03/06/1973,10.2
03/13/1973,1.6
03/21/1973,0.8
03/27/1973,0.0
04/06/1973,0.0
12/30/1973,0.0
12/31/1973,6.3
01/10/1974,28.2
01/17/1974,12.9
01/23/1974,8.4
01/31/1974,6.0
02/07/1974,15.7
02/14/1974,18.6
02/21/1974,21.3
02/28/1974,19.1
03/07/1974,6.1
03/14/1974,9.4
03/21/1974,4.1
03/28/1974,3.4
04/04/1974,1.5
04/11/1974,0.0
04/18/1974,5.0
04/25/1974,0.0
05/02/1974,0.0
01/01/1975,0.0
01/02/1975,1.1
01/09/1975,0.0
01/16/1975,2.0
01/23/1975,3.9
01/30/1975,4.3
02/06/1975,8.9
02/13/1975,15.1
02/20/1975,8.1
02/27/1975,3.9
03/06/1975,6.6
03/13/1975,2.3
03/20/1975,3.5
03/27/1975,1.6
04/03/1975,2.2
04/10/1975,1.7
04/17/1975,0.0
04/24/1975,0.0
12/22/1975,0.0
12/23/1975,2.3
12/30/1975,1.6
01/06/1976,7.8
01/13/1976,4.3
01/20/1976,5.6
01/27/1976,15.0
02/03/1976,19.4
02/10/1976,12.8
02/17/1976,8.8
02/24/1976,5.0
03/02/1976,8.0
03/09/1976,7.3
03/16/1976,5.2
03/23/1976,7.1
03/30/1976,2.0
04/06/1976,0.0
04/13/1976,0.0
04/20/1976,0.0
12/15/1976,0.0
12/16/1976,6.6
12/23/1976,9.1
12/30/1976,21.0
01/06/1977,28.1
01/12/1977,24.6
01/19/1977,33.8
01/26/1977,39.7
02/02/1977,35.4
02/09/1977,44.7
02/16/1977,48.8
02/23/1977,47.5
03/02/1977,32.1
03/09/1977,24.6
03/16/1977,24.9
03/23/1977,22.8
03/30/1977,22.1
04/06/1977,15.6
04/13/1977,12.2
04/20/1977,10.0
04/27/1977,5.6
05/04/1977,5.0
05/05/1977,0.0
12/20/1977,0.0
12/21/1977,6.1
12/28/1977,10.4
01/04/1978,10.5
01/11/1978,13.4
01/18/1978,26.1
01/25/1978,16.4
02/01/1978,29.6
02/08/1978,25.9
02/15/1978,59.4
02/22/1978,51.5
03/01/1978,48.4
03/08/1978,43.7
03/15/1978,21.7
03/22/1978,15.7
03/29/1978,14.9
04/05/1978,11.1
04/12/1978,9.39
04/19/1978,7.14
04/26/1978,5
05/03/1978,5
05/04/1978,0
12/17/1978,0
12/18/1978,5.3
12/25/1978,5
12/27/1978,5.86
01/01/1979,7.17
01/08/1979,6.67
01/15/1979,26.9
01/22/1979,26.54
01/29/1979,18.28
02/05/1979,35.22
02/12/1979,61.12
02/19/1979,86.26
02/26/1979,23.37
03/05/1979,22.9
03/12/1979,18.53
03/19/1979,10.02
03/26/1979,8.97
04/02/1979,5
04/09/1979,5.3
04/16/1979,5.0
04/23/1979,5.0
04/30/1979,5.0
05/07/1979,5.0
05/14/1979,5.0
05/15/1979,0.0
01/01/1980,0.0
01/02/1980,5.7
01/09/1980,6.4
01/16/1980,5.0
01/24/1980,6.4
01/30/1980,9.5
02/06/1980,28.5
02/13/1980,35.2
02/20/1980,14.3
02/27/1980,26.7
03/05/1980,28.0
03/12/1980,13.5
03/19/1980,14.3
03/26/1980,12.9
04/02/1980,7.8
04/09/1980,5.0
04/16/1980,5.0
04/17/1980,0.0
12/23/1980,0.0
12/24/1980,5.4
01/07/1981,50.2
01/14/1981,43.2
01/21/1981,29.2
01/28/1981,21.3
02/04/1981,20.7
02/11/1981,21.5
02/18/1981,26.5
02/25/1981,11.2
03/04/1981,10.0
03/11/1981,5.0
03/18/1981,6.4
03/25/1981,5.0
04/01/1981,5.0
04/08/1981,5.0
04/15/1981,5.0
04/16/1981,0.0
12/20/1981,0.0
12/21/1981,5.0
12/29/1981,5.0
01/04/1982,5.0
01/11/1982,6.0
01/18/1982,30.2
01/25/1982,53.2
02/02/1982,33.9
02/09/1982,42.0
02/17/1982,19.5
02/23/1982,25.0
03/03/1982,32.2
03/09/1982,51.1
03/17/1982,14.0
03/23/1982,12.3
03/29/1982,14.5
04/06/1982,10.7
04/13/1982,5.0
04/20/1982,5.0
04/26/1982,5.0
05/05/1982,5.0
05/12/1982,5.0
05/17/1982,5.0
05/18/1982,0.0
12/20/1982,0.0
12/21/1982,5.0
12/27/1982,5.0
01/03/1983,5.0
01/11/1983,5.0
01/18/1983,5.0
01/25/1983,14.4
02/01/1983,16.0
02/08/1983,16.1
02/14/1983,14.8
02/23/1983,11.0
03/01/1983,6.0
03/08/1983,5.9
03/15/1983,5.0
03/23/1983,5.0
03/30/1983,5.0
04/05/1983,5.0
