Lake Superior:, Ice Cover Data
Source:, CIS; NIC
Date, Percent_Ice
12/19/1972,0
12/20/1972,16.62
12/28/1972,9.35
01/02/1973,13.03
01/09/1973,29.69
01/16/1973,15.25
01/23/1973,11.51
01/30/1973,21.96
02/06/1973,13.32
02/13/1973,26.04
02/20/1973,39.38
02/27/1973,71.13
03/06/1973,56.5
03/13/1973,34.28
03/21/1973,9.98
03/27/1973,4.81
04/06/1973,1.39
04/07/1973,0
12/30/1973,0
12/31/1973,13
01/10/1974,37.61
01/17/1974,33.11
01/23/1974,22.58
01/31/1974,21.68
02/07/1974,39.52
02/14/1974,73.65
02/21/1974,74.12
02/28/1974,74.62
03/07/1974,54.96
03/14/1974,59.22
03/21/1974,70.04
03/28/1974,73.54
04/04/1974,54.18
04/11/1974,26.26
04/18/1974,18.66
04/25/1974,11.72
05/02/1974,7.78
05/03/1974,0
01/01/1975,0
01/02/1975,1.92
01/09/1975,4.41
01/16/1975,10.4
01/23/1975,17.4
01/30/1975,18.09
02/06/1975,26.16
02/13/1975,66.06
02/20/1975,35.73
02/27/1975,23.33
03/06/1975,22.66
03/13/1975,31.87
03/20/1975,12.26
03/27/1975,14.86
04/03/1975,22.55
04/10/1975,9.18
04/17/1975,3.1
04/24/1975,2.34
04/25/1975,0
12/22/1975,0
12/23/1975,5.5
12/30/1975,7.8
01/06/1976,10.89
01/13/1976,18.43
01/20/1976,12.22
01/27/1976,25.65
02/03/1976,30.41
02/10/1976,33.12
02/17/1976,35.35
02/24/1976,23.48
03/02/1976,33.1
03/09/1976,40.84
03/16/1976,52.4
03/23/1976,26.1
03/30/1976,12.04
04/06/1976,10.49
04/13/1976,7.24
04/20/1976,1.34
04/21/1976,0
12/15/1976,0
12/16/1976,18.53
12/23/1976,20.48
12/30/1976,28.71
01/06/1977,35.47
01/12/1977,59.59
01/19/1977,73.15
01/26/1977,83
02/02/1977,81.21
02/09/1977,91.73
02/16/1977,96.04
02/23/1977,95.7
03/02/1977,93.46
03/09/1977,73.3
03/16/1977,81.75
03/23/1977,81.34
03/30/1977,60.37
04/06/1977,34.98
04/13/1977,28.87
04/20/1977,23.51
04/27/1977,9.59
05/04/1977,5.94
05/05/1977,0
12/20/1977,0
12/21/1977,6.88
12/28/1977,12.47
01/04/1978,13.52
01/11/1978,17.98
01/18/1978,28.58
01/25/1978,23.36
02/01/1978,21.38
02/08/1978,38.38
02/15/1978,51.18
02/22/1978,85.22
03/01/1978,92.49
03/08/1978,83.43
03/15/1978,92.09
03/22/1978,29.07
03/29/1978,33.12
04/05/1978,18.49
04/12/1978,11.76
04/19/1978,12.47
04/26/1978,9.94
05/03/1978,6.78
05/04/1978,0
12/17/1978,0
12/18/1978,6.93
12/25/1978,7.2
12/27/1978,8.28
01/01/1979,11.33
01/08/1979,20.98
01/15/1979,52.33
01/22/1979,46.78
01/29/1979,52.48
02/05/1979,66.44
02/12/1979,90.38
02/19/1979,96.49
02/26/1979,97.11
03/05/1979,85.69
03/12/1979,94.79
03/19/1979,84.43
03/26/1979,91.77
04/02/1979,60.93
04/09/1979,65.53
04/16/1979,42.53
04/23/1979,41.6
04/30/1979,37.19
05/07/1979,25.19
05/14/1979,12.55
05/15/1979,0
01/01/1980,0
01/02/1980,10.15
01/09/1980,9.18
01/16/1980,8.77
01/24/1980,10.11
01/30/1980,33.19
02/06/1980,63.28
02/13/1980,65.29
02/20/1980,63.08
02/27/1980,58.13
03/05/1980,80.7
03/12/1980,43.86
03/19/1980,32.42
03/26/1980,26.04
04/02/1980,26.21
04/09/1980,18.32
04/16/1980,9.08
04/17/1980,0
12/23/1980,0
12/24/1980,8.41
01/07/1981,40.47
01/14/1981,31.43
01/21/1981,27.75
01/28/1981,33.18
02/04/1981,83.55
02/11/1981,85.57
02/18/1981,82.01
02/25/1981,54.49
03/04/1981,82.82
03/11/1981,51.6
03/18/1981,23.9
03/25/1981,30
04/01/1981,22.12
04/08/1981,17.09
04/15/1981,7.99
04/16/1981,0
12/20/1981,0
12/21/1981,6.59
12/29/1981,6.6
01/04/1982,10.98
01/11/1982,24.73
01/18/1982,40.46
01/25/1982,31.37
02/02/1982,47.06
02/09/1982,76.83
02/17/1982,75.82
02/23/1982,58.88
03/03/1982,83.75
03/09/1982,85.81
03/17/1982,42
03/23/1982,40.14
03/29/1982,23.87
04/06/1982,31.81
04/13/1982,18.11
04/20/1982,12.29
04/26/1982,10.42
05/05/1982,9.42
05/12/1982,5.38
05/17/1982,5
05/18/1982,0
12/20/1982,0
12/21/1982,6.6
12/27/1982,7.18
01/03/1983,12.18
01/11/1983,7.94
01/18/1983,13.33
01/25/1983,20.83
02/01/1983,21.76
02/08/1983,23.31
02/14/1983,19.38
02/23/1983,20.76
03/01/1983,14.82
03/08/1983,12.43
03/15/1983,8.28
03/23/1983,13.53
03/30/1983,11.3
