id,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude,location_id_state
COOP:064599,146.0,1941-04-01,1960-06-01,41.2,"MEAD POND RESERVOIR, NY US",0.9048,METERS,-73.51667,NY
COOP:065984,4.0,1932-01-01,1937-05-01,41.25,"OLD GREENWICH, NY US",0.9848,METERS,-73.55,NY
COOP:120014,301.8,2010-05-01,2015-11-01,41.3526,"AVILLA 3 SW, IN US",0.9997,METERS,-85.2962,IA
COOP:120075,281.9,2011-01-01,2011-12-01,41.39056,"ALBION, IN US",1.0,METERS,-85.42222,IA
COOP:120076,299.6,1916-12-01,1972-04-01,41.4,"ALBION 5 E, IN US",0.964,METERS,-85.33333,IA
COOP:120096,265.5,1993-04-01,2010-11-01,40.1968,"ALEXANDRIA, IN US",0.9717,METERS,-85.6702,IA
COOP:120132,233.8,1949-02-01,2014-01-01,39.5739,"ALPINE 2 NE, IN US",0.9673,METERS,-85.1582,IA
COOP:120172,262.1,1948-07-01,1974-08-01,40.08333,"ANDERSON MOUNDS STAT, IN US",0.8975,METERS,-85.61667,IA
COOP:120177,256.3,1895-06-01,2015-11-01,40.1117,"ANDERSON SEWAGE PLANT, IN US",0.87,METERS,-85.7163,IA
COOP:120182,265.2,1931-01-01,2011-12-01,40.1051,"ANDERSON WATERWORKS, IN US",0.9547,METERS,-85.6716,IA
COOP:120200,310.9,1887-01-01,2015-11-01,41.6639,"ANGOLA, IN US",0.8584,METERS,-85.0183,IA
COOP:120328,158.5,1911-01-01,1995-01-01,40.28333,"ATTICA, IN US",0.1411,METERS,-87.25,IA
COOP:120331,221.6,1991-06-01,2011-06-01,40.2838,"ATTICA 2 E, IN US",0.9998,METERS,-87.1963,IA
COOP:120332,266.7,1995-04-01,1996-10-01,41.36667,"AUBURN 1 E, IN US",0.9971,METERS,-85.03333,IA
COOP:120334,266.7,1896-07-01,1988-08-01,41.33333,"AUBURN 2 SSE, IN US",0.5325,METERS,-85.05,IA
COOP:120482,295.7,1948-07-01,2014-01-01,39.2967,"BATESVILLE WATER AND GAS UTILITY, IN US",0.9488,METERS,-85.2187,IA
COOP:120545,203.9,1939-12-01,1978-09-01,38.85,"BEDFORD, IN US",0.9826,METERS,-86.5,IA
COOP:120550,177.1,1947-04-01,2015-11-01,38.8396,"BEDFORD 4 SW, IN US",0.9757,METERS,-86.5216,IA
COOP:120676,255.7,1910-01-01,2015-11-01,40.6683,"BERNE WWTP, IN US",0.9827,METERS,-84.93,IA
COOP:120704,146.0,1948-07-01,1948-11-01,38.76667,"BICKNELL, IN US",0.9819,METERS,-87.31667,IA
COOP:120784,253.0,1896-02-01,2015-11-01,39.1742,"BLOOMINGTON INDIANA UNIVERSITY, IN US",0.9736,METERS,-86.5214,IA
COOP:120786,256.0,1951-11-01,1969-04-01,39.13333,"BLOOMINGTON 5 SW, IN US",0.9573,METERS,-86.61667,IA
COOP:120789,253.0,1953-04-01,1957-03-29,39.21667,"BLOOMINGTON 4 NE, IN US",0.0616,METERS,-86.48333,IA
COOP:120824,263.7,1895-10-01,1969-03-01,40.78333,"BLUFFTON, IN US",0.7188,METERS,-85.16667,IA
COOP:120829,248.4,1948-08-01,1971-06-26,40.75,"BLUFFTON 1 N, IN US",0.1283,METERS,-85.18333,IA
COOP:120830,262.4,1971-06-01,2015-11-01,40.8143,"BLUFFTON 6 N, IN US",0.9906,METERS,-85.1546,IA
COOP:120831,256.0,1931-01-01,1958-03-01,40.73333,"BLUFFTON WATERWORKS, IN US",0.9787,METERS,-85.16667,IA
COOP:120852,121.9,1897-10-01,2015-11-01,38.0302,"BOONVILLE 1 S, IN US",0.4866,METERS,-87.2736,IA
COOP:120858,235.3,1989-04-01,2010-08-01,40.535,"BOSWELL 4 WNW, IN US",0.9921,METERS,-87.4531,IA
COOP:120877,183.2,1946-05-01,2015-11-01,39.3854,"BOWLING GREEN 1 W, IN US",0.9569,METERS,-87.0399,IA
COOP:120922,207.0,1948-07-01,2015-11-01,39.5108,"BRAZIL, IN US",0.0667,METERS,-87.1241,IA
COOP:121021,198.1,1999-07-01,2001-05-01,40.86556,"BROOK, IN US",0.8684,METERS,-87.36917,IA
COOP:121030,192.0,1924-11-01,2015-11-01,39.42387,"BROOKVILLE, IN US",0.9708,METERS,-85.01445,IA
COOP:121061,260.6,1997-01-01,1998-08-01,39.81722,"BROWNSBURG 2 S, IN US",1.0,METERS,-86.3925,IA
COOP:121147,233.2,1950-11-01,2014-01-01,40.48347,"BURLINGTON, IN US",0.0393,METERS,-86.39605,IA
COOP:121187,259.1,1999-09-01,2015-11-01,41.4083,"BUTLER 1 SE, IN US",0.9898,METERS,-84.8536,IA
COOP:121192,242.3,1983-11-01,1990-02-01,39.03556,"BUTLERVILLE 1 WNW, IN US",0.9742,METERS,-85.53056,IA
COOP:121197,223.1,1887-02-01,1957-07-01,39.05,"BUTLERVILLE, IN US",0.7042,METERS,-85.55,IA
COOP:121212,231.6,1953-01-01,1983-07-01,39.48806,"CAGLES MILL DAM, IN US",0.0569,METERS,-86.91806,IA
COOP:121229,304.8,1892-04-01,2001-08-01,39.86667,"CAMBRIDGE CITY 3 N, IN US",0.9962,METERS,-85.18333,IA
COOP:121256,122.5,1971-08-01,2015-11-01,37.8994,"CANNELTON, IN US",0.9824,METERS,-86.7072,IA
COOP:121303,229.2,1998-12-01,2015-11-01,39.9617,"CARMEL 3 E, IN US",0.9902,METERS,-86.0585,IA
