id,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude,location_id_state
COOP:064599,146.0,1941-04-01,1960-06-01,41.2,"MEAD POND RESERVOIR, NY US",0.9048,METERS,-73.51667,NY
COOP:065984,4.0,1932-01-01,1937-05-01,41.25,"OLD GREENWICH, NY US",0.9848,METERS,-73.55,NY
COOP:300015,121.9,1947-10-01,1950-11-01,43.9,"ADAMS CENTER, NY US",0.8681,METERS,-76.06667,NY
COOP:300018,195.1,1965-10-01,1972-12-01,43.81667,"ADAMS, NY US",0.9996,METERS,-76.01667,NY
COOP:300023,304.5,1931-01-01,2015-11-01,42.1013,"ADDISON, NY US",0.7576,METERS,-77.2344,NY
COOP:300028,373.4,1986-01-01,1988-09-01,42.11667,"ADDISON 1 NNE, NY US",0.9701,METERS,-77.21667,NY
COOP:300042,85.3,1948-05-01,2015-11-01,42.74722,"ALBANY INTERNATIONAL AIRPORT, NY US",1.0,METERS,-73.79912,NY
COOP:300047,0.0,1948-01-01,1971-12-01,42.64611,"ALBANY, NY US",0.9963,METERS,-73.74722,NY
COOP:300048,89.3,1998-12-01,2010-04-01,42.6925,"ALBANY NWFO UNIVERSITY, NY US",0.9928,METERS,-73.8308,NY
COOP:300049,3.7,1971-12-01,1992-05-01,42.58333,"ALBANY 4 S, NY US",0.0268,METERS,-73.73333,NY
COOP:300055,143.9,1938-10-01,2015-11-01,43.26338,"ALBION, NY US",0.8661,METERS,-78.21527,NY
COOP:300063,185.0,1942-05-01,2015-11-01,42.4697,"ALCOVE DAM, NY US",0.9581,METERS,-73.9267,NY
COOP:300077,78.9,1932-03-01,1972-12-01,44.33333,"ALEXANDRIA BAY 1 SW, NY US",0.9897,METERS,-75.91667,NY
COOP:300085,586.4,1931-01-01,2015-11-01,42.27984,"ALFRED, NY US",0.9686,METERS,-77.76564,NY
COOP:300093,457.2,1931-01-01,2015-11-01,42.1003,"ALLEGANY STATE PARK, NY US",0.9833,METERS,-78.7497,NY
COOP:300136,116.1,1948-05-01,1961-03-01,41.28333,"AMAWALK, NY US",0.9613,METERS,-73.75,NY
COOP:300159,85.0,1948-05-01,1959-03-01,42.91667,"AMSTERDAM LOCK 1O, NY US",0.9848,METERS,-74.13333,NY
COOP:300167,488.0,1948-05-01,1959-06-01,42.2,"ANDES, NY US",0.7538,METERS,-74.78333,NY
COOP:300175,509.0,1931-01-01,1948-07-01,42.15,"ANDOVER, NY US",0.9621,METERS,-77.8,NY
COOP:300183,449.6,1920-01-01,2015-11-01,42.3108,"ANGELICA, NY US",0.9852,METERS,-78.023,NY
COOP:300220,434.9,1943-05-01,1995-10-01,42.5347,"ARCADE, NY US",0.9523,METERS,-78.4575,NY
COOP:300237,442.0,1948-05-01,1970-09-01,42.1,"ARENA, NY US",0.9739,METERS,-74.71667,NY
COOP:300242,519.1,1978-01-01,1978-06-01,43.25,"ARIETTA, NY US",1.0,METERS,-74.51667,NY
COOP:300246,494.1,1948-05-01,1950-03-01,42.4,"ARKPORT, NY US",0.998,METERS,-77.71667,NY
COOP:300254,399.3,1948-05-01,2014-12-01,42.1394,"ARKVILLE 2 W, NY US",0.9337,METERS,-74.6536,NY
COOP:300268,586.1,1948-05-01,1952-03-01,42.26667,"ARNOT SOIL CONSERVATION SERVICE, NY US",0.8049,METERS,-76.65,NY
COOP:300270,365.8,1955-01-01,2011-07-01,42.2632,"ARNOT FOREST, NY US",0.0463,METERS,-76.6278,NY
COOP:300317,416.1,2011-01-01,2015-11-01,42.8107,"ATTICA 7 SW, NY US",1.0,METERS,-78.3979,NY
COOP:300321,234.7,1897-09-01,2015-11-01,42.9327,"AUBURN, NY US",0.8267,METERS,-76.5447,NY
COOP:300331,253.0,1956-11-01,2015-11-01,42.7338,"AURORA RESEARCH FARM, NY US",0.9831,METERS,-76.6591,NY
COOP:300343,166.1,1931-01-01,2015-11-01,42.9203,"AVON, NY US",0.9068,METERS,-77.7557,NY
COOP:300351,14.9,1938-12-01,1959-08-01,40.71667,"BABYLON, NY US",0.8996,METERS,-73.36667,NY
COOP:300360,303.0,1931-01-01,1992-12-01,42.28333,"BAINBRIDGE 2 E, NY US",0.9476,METERS,-75.45,NY
COOP:300368,481.9,1948-05-01,1977-06-01,43.61667,"BAKERS MILLS, NY US",0.8914,METERS,-74.03333,NY
COOP:300379,115.5,1893-01-01,2015-11-01,43.15,"BALDWINSVILLE, NY US",0.8909,METERS,-76.3333,NY
COOP:300393,793.1,1948-05-01,1970-08-01,42.03333,"BALSAM LAKE, NY US",0.9887,METERS,-74.6,NY
COOP:300412,85.0,1941-07-01,1976-01-01,43.36667,"BARKER 4 NE, NY US",0.9878,METERS,-78.48333,NY
COOP:300424,463.3,1980-01-01,1990-03-01,43.81667,"BARNES CORNERS, NY US",0.9108,METERS,-75.8,NY
COOP:300443,278.3,1931-01-01,2015-11-01,43.02966,"BATAVIA, NY US",0.9833,METERS,-78.16822,NY
COOP:300448,341.4,1953-08-01,2014-12-01,42.3488,"BATH, NY US",0.9064,METERS,-77.3477,NY
COOP:300452,115.8,1955-11-01,1999-03-01,43.10139,"BATTENVILLE, NY US",0.9866,METERS,-73.43194,NY
COOP:300489,396.8,1948-03-01,1953-06-01,41.31667,"BEAR MOUNTAIN WEATHER BUREAU, NY US",0.968,METERS,-74.0,NY
COOP:300500,225.6,1934-04-01,1996-11-01,43.887,"BEAVER FALLS, NY US",0.9867,METERS,-75.4349,NY
