id,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude,location_id_state
COOP:200016,194.5,1931-01-01,1939-12-01,42.95,"ADA, MI US",1.0,METERS,-85.5,MI
COOP:200032,231.6,1931-01-01,2015-11-01,41.9163,"ADRIAN 2 NNE, MI US",0.9814,METERS,-84.0158,MI
COOP:200050,331.6,2010-01-01,2015-11-01,47.292,"AHMEEK 1 SW, MI US",0.9864,METERS,-88.4209,MI
COOP:200084,179.5,1997-07-01,2003-12-01,43.6097,"AKRON 7 NW, MI US",0.9227,METERS,-83.6336,MI
COOP:200089,399.3,1957-10-01,2015-11-01,46.6448,"ALBERTA FORD FOR CENTER, MI US",0.8267,METERS,-88.4812,MI
COOP:200094,286.5,1931-01-01,2015-11-01,42.2486,"ALBION, MI US",0.9578,METERS,-84.7736,MI
COOP:200096,222.5,1931-01-01,1938-12-01,44.56667,"ALCONA DAM, MI US",1.0,METERS,-83.8,MI
COOP:200106,176.8,2004-04-01,2015-11-01,42.6158,"ALGONAC WWTP, MI US",0.9858,METERS,-82.5436,MI
COOP:200128,228.6,1931-01-01,2007-11-01,42.5799,"ALLEGAN 5 NE, MI US",0.9575,METERS,-85.7893,MI
COOP:200135,213.4,2013-01-01,2015-11-01,42.9583,"ALLENDALE 3 ESE, MI US",1.0,METERS,-85.8958,MI
COOP:200146,222.2,1931-01-01,2015-11-01,43.3869,"ALMA, MI US",0.9843,METERS,-84.6482,MI
COOP:200159,251.2,1978-05-01,1990-08-01,42.91667,"ALMONT, MI US",0.9862,METERS,-83.03333,MI
COOP:200164,208.5,1931-01-01,2015-11-01,45.0716,"ALPENA CO REGIONAL AIRPORT, MI US",0.9863,METERS,-83.5644,MI
COOP:200166,225.6,1998-05-01,2008-05-01,45.1627,"ALPENA 10 NW, MI US",0.9997,METERS,-83.5905,MI
COOP:200169,179.8,1948-05-01,2015-11-01,45.0605,"ALPENA WASTEWATER PLANT, MI US",0.9679,METERS,-83.428,MI
COOP:200194,445.0,2007-10-01,2010-06-01,46.22889,"AMASA, MI US",0.7276,METERS,-88.44444,MI
COOP:200197,448.1,1999-02-01,2015-11-01,46.2347,"AMASA 1 W, MI US",0.9111,METERS,-88.4544,MI
COOP:200220,263.7,2008-05-01,2014-12-01,42.2875,"ANN ARBOR 1 W, MI US",0.9996,METERS,-83.7611,MI
COOP:200228,253.6,2003-04-01,2015-11-01,42.2416,"ANN ARBOR SE, MI US",0.9999,METERS,-83.6933,MI
COOP:200230,247.8,1931-01-01,2015-11-01,42.29806,"ANN ARBOR U OF MICH, MI US",0.9775,METERS,-83.66388,MI
COOP:200232,228.6,2008-01-01,2008-09-01,42.8461,"ARMADA 2 E, MI US",0.9998,METERS,-82.8425,MI
COOP:200234,338.6,2007-10-01,2015-11-01,46.07511,"ARNOLD 2 N, MI US",0.8979,METERS,-87.48987,MI
COOP:200342,267.9,2005-02-01,2015-11-01,45.00471,"ATLANTA, MI US",1.0,METERS,-84.14043,MI
COOP:200343,359.7,1931-01-01,2004-11-01,45.02833,"ATLANTA 5 WNW, MI US",0.8839,METERS,-84.23306,MI
COOP:200361,184.4,2004-11-01,2015-11-01,43.6252,"AUBURN 2 NE, MI US",0.9928,METERS,-84.0188,MI
COOP:200373,234.7,1997-11-01,2005-01-01,43.12556,"AVOCA 4 N, MI US",1.0,METERS,-82.68861,MI
COOP:200416,213.4,1997-10-01,1998-09-01,43.80833,"BAD AXE 4 W, MI US",0.6671,METERS,-83.08,MI
COOP:200417,217.9,1931-01-01,2015-11-01,43.808,"BAD AXE, MI US",0.9637,METERS,-82.9938,MI
COOP:200420,225.6,1997-09-01,2006-07-01,43.8302,"BAD AXE 8 E, MI US",0.9348,METERS,-82.8425,MI
COOP:200446,254.5,1936-11-01,2015-11-01,43.9005,"BALDWIN, MI US",0.9452,METERS,-85.8505,MI
COOP:200485,195.1,1967-03-01,1987-03-01,46.78333,"BARAGA, MI US",0.9335,METERS,-88.48333,MI
COOP:200489,244.1,1948-06-01,1987-07-01,46.78333,"BARAGA 1 N, MI US",0.8754,METERS,-88.48333,MI
COOP:200495,236.5,2010-01-01,2015-11-01,46.7953,"BARAGA 5 W, MI US",0.9441,METERS,-88.6014,MI
COOP:200497,198.7,2008-10-01,2015-11-01,46.8208,"BARAGA 7 NW, MI US",1.0,METERS,-88.6064,MI
COOP:200552,283.5,1931-01-01,2015-11-01,42.3667,"BATTLE CREEK 5 NW, MI US",0.9568,METERS,-85.2667,MI
COOP:200568,180.1,1931-01-01,1978-10-01,43.61667,"BAY CITY, MI US",0.9826,METERS,-83.86667,MI
COOP:200631,220.1,1948-07-01,1975-08-01,43.88333,"BEAVERTON, MI US",0.8952,METERS,-84.48333,MI
COOP:200632,208.2,1978-05-01,1999-11-01,43.8797,"BEAVERTON 1 ESE, MI US",0.9961,METERS,-84.4741,MI
COOP:200647,506.0,1949-07-01,1990-10-01,46.18333,"BEECHWOOD 7 WNW, MI US",0.9999,METERS,-88.88333,MI
COOP:200662,190.5,1948-07-01,2014-01-01,44.9758,"BELLAIRE, MI US",1.0,METERS,-85.198,MI
COOP:200710,190.5,1941-06-01,2015-11-01,42.1245,"BENTON HARBOR AIRPORT, MI US",0.9653,METERS,-86.4266,MI
