,Start,End,Entries,Days in Range,% Coverage
0,1972-12-19,1973-04-07,18,109,16.51
1,1973-12-30,1974-05-03,20,124,16.13
2,1975-01-01,1975-04-25,19,114,16.67
3,1975-12-22,1976-04-21,20,121,16.53
4,1976-12-15,1977-05-05,23,141,16.31
5,1977-12-20,1978-05-04,22,135,16.3
6,1978-12-17,1979-05-15,25,149,16.78
7,1980-01-01,1980-04-17,18,107,16.82
8,1980-12-23,1981-04-16,18,114,15.79
9,1981-12-20,1982-05-18,24,149,16.11
10,1982-12-20,1983-05-04,23,135,17.04
11,1983-12-19,1984-05-04,24,137,17.52
12,1984-12-21,1985-04-28,21,128,16.41
13,1985-12-13,1986-04-24,22,132,16.67
14,1986-12-26,1987-04-06,17,101,16.83
15,1988-01-02,1988-04-18,18,107,16.82
16,1988-12-13,1989-05-09,65,147,44.22
17,1989-12-12,1990-04-28,61,137,44.53
18,1990-12-27,1991-05-02,69,126,54.76
19,1991-12-05,1992-05-12,70,159,44.03
20,1992-12-13,1993-05-06,64,144,44.44
21,1993-12-02,1994-05-14,66,163,40.49
22,1994-12-08,1995-05-11,67,154,43.51
23,1995-11-16,1996-06-01,77,198,38.89
24,1996-11-25,1997-05-14,51,170,30.0
25,1997-12-01,1998-04-25,44,145,30.34
26,1998-12-14,1999-05-01,23,138,16.67
27,1999-12-02,2000-04-29,24,149,16.11
28,2000-11-30,2001-05-14,48,165,29.09
29,2001-12-02,2002-05-10,47,159,29.56
30,2002-12-01,2003-05-30,52,180,28.89
31,2003-11-30,2004-05-07,48,159,30.19
32,2004-12-01,2005-05-10,48,160,30.0
33,2005-11-27,2006-05-05,48,159,30.19
34,2006-12-03,2007-05-11,48,159,30.19
35,2007-11-25,2008-05-16,57,173,32.95
36,2008-12-07,2009-05-08,47,152,30.92
37,2009-12-06,2010-04-16,48,131,36.64
38,2010-12-01,2011-05-13,152,163,93.25
39,2011-11-28,2012-04-14,138,138,100.0
40,2012-11-28,2013-05-29,179,182,98.35
41,2013-11-23,2014-06-06,194,195,99.49
42,2014-11-13,2015-05-29,196,197,99.49
43,2015-11-26,2016-05-04,160,160,100.0
