id,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude,location_id_state
COOP:064599,146.0,1941-04-01,1960-06-01,41.2,"MEAD POND RESERVOIR, NY US",0.9048,METERS,-73.51667,NY
COOP:065984,4.0,1932-01-01,1937-05-01,41.25,"OLD GREENWICH, NY US",0.9848,METERS,-73.55,NY
COOP:110050,131.1,1990-10-01,2015-11-01,38.5411,"ALBERS 1 W, IL US",0.9967,METERS,-89.6289,IL
COOP:110055,161.5,1942-06-01,2006-04-01,38.3777,"ALBION, IL US",0.9518,METERS,-88.0569,IL
COOP:110072,222.5,1931-01-01,2015-11-01,41.1977,"ALEDO, IL US",0.9951,METERS,-90.7447,IL
COOP:110082,207.3,1948-07-01,2015-11-01,41.0579,"ALEXIS 1 SW, IL US",0.0964,METERS,-90.5654,IL
COOP:110137,132.6,1943-09-01,2015-11-01,38.86702,"ALTON MELVIN PRICE LOCK AND DAM, IL US",0.9389,METERS,-90.14886,IL
COOP:110140,233.2,2005-01-01,2015-11-01,41.1204,"ALTONA, IL US",0.9011,METERS,-90.1641,IL
COOP:110146,230.1,1996-04-01,2015-11-01,41.7225,"AMBOY, IL US",0.839,METERS,-89.3366,IL
COOP:110187,195.1,1931-01-01,2015-11-01,37.4813,"ANNA 2 NNE, IL US",0.9794,METERS,-89.2344,IL
COOP:110195,192.0,1941-01-01,1960-02-01,41.4,"ANNAWAN, IL US",0.9437,METERS,-89.91667,IL
COOP:110203,228.6,1941-04-01,2008-06-01,42.4811,"ANTIOCH, IL US",0.9542,METERS,-88.0994,IL
COOP:110211,249.9,1985-12-01,2015-11-01,42.4484,"APPLE RIVER CANYON SP, IL US",0.9084,METERS,-90.0518,IL
COOP:110231,207.0,2001-08-01,2007-11-01,39.69,"ARCOLA, IL US",1.0,METERS,-88.2925,IL
COOP:110237,227.4,1969-05-01,1983-09-01,41.7,"ARGONNE NATIONAL LAB, IL US",0.0644,METERS,-87.98333,IL
COOP:110247,207.0,1940-05-01,1962-10-01,42.03333,"ARLINGTON HEIGTS 4 S, IL US",0.8666,METERS,-87.96667,IL
COOP:110251,204.2,2009-08-01,2015-11-01,39.7103,"ARTHUR 1 W, IL US",1.0,METERS,-88.4885,IL
COOP:110281,161.5,1965-11-01,2014-01-01,38.31245,"ASHLEY, IL US",0.0265,METERS,-89.27242,IL
COOP:110305,182.9,2009-05-01,2013-12-01,40.0009,"ATHENS 2 N, IL US",0.9991,METERS,-89.7172,IL
COOP:110306,181.1,2000-01-01,2015-11-01,39.9275,"ATHENS 4 SW, IL US",0.7802,METERS,-89.7964,IL
COOP:110330,207.3,1948-07-01,2015-11-01,40.2333,"AUGUSTA, IL US",0.3585,METERS,-90.9471,IL
COOP:110338,201.2,1931-01-01,2015-11-01,41.78038,"AURORA, IL US",0.9922,METERS,-88.30925,IL
COOP:110356,195.1,1950-11-01,2015-11-01,40.6632,"AVON, IL US",0.9437,METERS,-90.4447,IL
COOP:110442,266.7,1962-11-01,2015-11-01,42.1153,"BARRINGTON 3 SW, IL US",0.9184,METERS,-88.1639,IL
COOP:110445,217.0,1941-01-01,1976-06-01,39.68333,"BARRY, IL US",0.9672,METERS,-91.05,IL
COOP:110446,180.1,1956-01-01,1959-06-01,39.71667,"BARRY 3 NW, IL US",0.0516,METERS,-91.06667,IL
COOP:110447,214.0,1956-04-01,1959-06-01,39.75,"BARRY 4 NNE, IL US",0.0422,METERS,-91.01667,IL
COOP:110448,213.4,1956-04-01,1959-07-01,39.75,"BARRY 4 NNE, IL US",0.0469,METERS,-91.01667,IL
COOP:110449,214.0,1956-01-01,1959-07-01,39.78333,"BARRY 6 N, IL US",0.0442,METERS,-91.05,IL
COOP:110450,256.0,1956-01-01,1959-06-27,39.8,"BARRY 7 NNE, IL US",0.0414,METERS,-91.0,IL
COOP:110451,200.9,1956-01-01,1959-07-01,39.75,"BARRY 5 NNW, IL US",0.0391,METERS,-91.08333,IL
COOP:110452,214.0,1956-01-01,1959-07-01,39.7,"BARRY 3 W, IL US",0.0479,METERS,-91.1,IL
COOP:110456,182.9,2002-01-01,2006-11-01,40.59778,"BARTONVILLE 5 SW, IL US",0.8987,METERS,-89.70389,IL
COOP:110480,256.0,1956-01-01,1959-07-01,39.73333,"BAYLIS, IL US",0.0464,METERS,-90.9,IL
COOP:110481,210.0,1956-01-01,1959-07-01,39.71667,"BAYLIS 6 WSW, IL US",0.046,METERS,-91.01667,IL
COOP:110482,235.0,1956-01-01,1959-07-01,39.75,"BAYLIS 3 WNW, IL US",0.0262,METERS,-90.95,IL
COOP:110492,136.2,1931-01-01,2014-12-01,40.0165,"BEARDSTOWN, IL US",0.9454,METERS,-90.4277,IL
COOP:110497,131.1,1940-04-01,1956-08-01,39.93333,"BEARDSTOWN LAGRANGE, IL US",0.9606,METERS,-90.53333,IL
COOP:110500,185.3,1990-10-01,2015-11-01,39.18122,"BEECHER CITY, IL US",1.0,METERS,-88.78266,IL
COOP:110510,137.2,1944-10-01,2015-11-01,38.51839,"BELLEVILLE SIU RESEARCH, IL US",0.9989,METERS,-89.84076,IL
COOP:110583,229.5,1940-03-01,2015-11-01,42.25504,"BELVIDERE, IL US",0.4015,METERS,-88.86402,IL
COOP:110598,198.1,1948-06-01,2015-11-01,40.3444,"BENTLEY, IL US",0.9803,METERS,-91.1124,IL
COOP:110608,135.6,1931-01-01,2009-02-01,38.0336,"BENTON, IL US",0.9915,METERS,-88.9202,IL
